id,name,terminalName,lat,long,installed,locked,temporary,public,nbBikes,nbEmptyDocks
209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,TRUE,FALSE,FALSE,TRUE,3,12
210,M St & Delaware Ave NE,31627,38.905707,-77.003041,TRUE,FALSE,FALSE,TRUE,12,9
211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,TRUE,FALSE,FALSE,TRUE,9,6
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,TRUE,FALSE,FALSE,TRUE,8,3
213,28th St S & S Meade St,31055,38.846222,-77.069275,TRUE,FALSE,FALSE,TRUE,12,3
214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,TRUE,FALSE,FALSE,TRUE,0,23
215,5th & Kennedy St NW,31403,38.956595,-77.019815,TRUE,FALSE,FALSE,TRUE,9,6
216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,TRUE,FALSE,FALSE,TRUE,6,13
217,14th & Upshur St NW,31406,38.942016,-77.032652,TRUE,FALSE,FALSE,TRUE,4,15
218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,TRUE,FALSE,FALSE,TRUE,9,10
219,S Troy St & 26th St S,31056,38.847977,-77.075104,TRUE,FALSE,FALSE,TRUE,4,7
220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,TRUE,FALSE,FALSE,TRUE,8,3
221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,TRUE,FALSE,FALSE,TRUE,4,6
222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,TRUE,FALSE,FALSE,TRUE,8,3
223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,TRUE,FALSE,FALSE,TRUE,11,4
224,S Kenmore & 24th St S,31061,38.848454,-77.084918,TRUE,FALSE,FALSE,TRUE,8,3
225,13th St & Eastern Ave,32006,38.987,-77.029417,TRUE,FALSE,FALSE,TRUE,5,9
226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,TRUE,FALSE,FALSE,TRUE,12,6
227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,TRUE,FALSE,FALSE,TRUE,8,2
228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,TRUE,FALSE,FALSE,TRUE,12,10
229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,TRUE,FALSE,FALSE,TRUE,0,17
230,15th & Euclid St  NW,31117,38.92333,-77.0352,TRUE,FALSE,FALSE,TRUE,1,14
231,8th & East Capitol St NE,31629,38.889988,-76.995193,TRUE,FALSE,FALSE,TRUE,0,11
232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,TRUE,FALSE,FALSE,TRUE,7,7
233,15th & East Capitol St NE,31630,38.889908,-76.983326,TRUE,FALSE,FALSE,TRUE,5,6
234,8th & F St NE,31631,38.897274,-76.994749,TRUE,FALSE,FALSE,TRUE,4,11
235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,TRUE,FALSE,FALSE,TRUE,1,14
236,15th & F St NE,31632,38.897195,-76.983575,TRUE,FALSE,FALSE,TRUE,3,16
237,12th & Irving St NE,31511,38.928644,-76.990955,TRUE,FALSE,FALSE,TRUE,2,12
239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,TRUE,FALSE,FALSE,TRUE,7,4
240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,TRUE,FALSE,FALSE,TRUE,6,5
241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,TRUE,FALSE,FALSE,TRUE,4,11
242,12th & U St NW,31268,38.916787,-77.028139,TRUE,FALSE,FALSE,TRUE,1,30
243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,TRUE,FALSE,FALSE,TRUE,5,6
244,S Stafford & 34th St S,31064,38.834108,-77.087323,TRUE,FALSE,FALSE,TRUE,3,8
245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,TRUE,FALSE,FALSE,TRUE,5,6
246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,TRUE,FALSE,FALSE,TRUE,5,5
247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,TRUE,FALSE,FALSE,TRUE,1,13
248,8th & D St NW,31270,38.894851,-77.02324,TRUE,FALSE,FALSE,TRUE,11,4
249,3rd & Elm St NW,31118,38.917622,-77.01597,TRUE,FALSE,FALSE,TRUE,2,13
250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,TRUE,FALSE,FALSE,TRUE,0,19
251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,TRUE,FALSE,FALSE,TRUE,13,12
252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,TRUE,FALSE,FALSE,TRUE,19,11
253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,TRUE,FALSE,FALSE,TRUE,3,12
254,Hamlin & 7th St NE,31514,38.927497,-76.997194,TRUE,FALSE,FALSE,TRUE,3,11
255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,TRUE,FALSE,FALSE,TRUE,3,9
