StartStation,EndStation,Ridership,start_id,start_terminalName,start_lat,start_long,start_nbBikes,start_nbEmptyDocks,end_id,end_terminalName,end_lat,end_long,end_nbBikes,end_nbEmptyDocks,distance_hav
Park Rd & Holmead Pl NW,11th & Kenyon St NW,5528,33,31602,38.9308,-77.0315,8,10,16,31102,38.929464,-77.027822,2,25,351.5149993
Park Rd & Holmead Pl NW,14th & V St NW,4977,33,31602,38.9308,-77.0315,8,10,15,31101,38.9176,-77.0321,4,22,1470.335756
Park Rd & Holmead Pl NW,Columbia Rd & Georgia Ave NW,4522,33,31602,38.9308,-77.0315,8,10,148,31115,38.928156,-77.02344,6,12,757.4968174
Park Rd & Holmead Pl NW,Calvert St & Woodley Pl NW,3541,33,31602,38.9308,-77.0315,8,10,301,31121,38.923583,-77.050046,1,18,1795.820428
Park Rd & Holmead Pl NW,15th & P St NW,3132,33,31602,38.9308,-77.0315,8,10,23,31201,38.90985,-77.034438,10,8,2345.983962
Park Rd & Holmead Pl NW,10th & U St NW,2942,33,31602,38.9308,-77.0315,8,10,43,31111,38.9172,-77.0259,2,12,1589.72937
Park Rd & Holmead Pl NW,16th & Harvard St NW,2903,33,31602,38.9308,-77.0315,8,10,17,31103,38.926088,-77.036536,1,31,682.15345
Park Rd & Holmead Pl NW,9th & Upshur St NW,2520,33,31602,38.9308,-77.0315,8,10,146,31404,38.9418,-77.0251,5,10,1344.076546
Park Rd & Holmead Pl NW,17th & Corcoran St NW,2292,33,31602,38.9308,-77.0315,8,10,59,31214,38.9121,-77.0387,5,13,2173.065288
Park Rd & Holmead Pl NW,14th & R St NW,2176,33,31602,38.9308,-77.0315,8,10,24,31202,38.912682,-77.031681,3,12,2016.947452
Park Rd & Holmead Pl NW,21st & M St NW,2164,33,31602,38.9308,-77.0315,8,10,53,31212,38.90534,-77.046774,14,5,3127.736441
Park Rd & Holmead Pl NW,14th & Rhode Island Ave NW,2159,33,31602,38.9308,-77.0315,8,10,25,31203,38.9086,-77.0323,14,8,2472.263815
Park Rd & Holmead Pl NW,14th & Harvard St NW,2117,33,31602,38.9308,-77.0315,8,10,19,31105,38.9268,-77.0322,2,17,449.3852691
Park Rd & Holmead Pl NW,20th St & Florida Ave NW,2029,33,31602,38.9308,-77.0315,8,10,46,31110,38.9154,-77.0446,2,11,2055.737041
Park Rd & Holmead Pl NW,14th St Heights / 14th & Crittenden St NW,1996,33,31602,38.9308,-77.0315,8,10,65,31402,38.947774,-77.032818,5,6,1892.980076
Park Rd & Holmead Pl NW,Thomas Circle,1724,33,31602,38.9308,-77.0315,8,10,137,31241,38.9059,-77.0325,6,27,2773.208147
Park Rd & Holmead Pl NW,Georgia Ave and Fairmont St NW,1713,33,31602,38.9308,-77.0315,8,10,44,31207,38.9249,-77.0222,3,7,1039.229575
Park Rd & Holmead Pl NW,7th & T St NW,1588,33,31602,38.9308,-77.0315,8,10,47,31109,38.9155,-77.0222,5,10,1884.029616
Park Rd & Holmead Pl NW,14th & Upshur St NW,1472,33,31602,38.9308,-77.0315,8,10,217,31406,38.942016,-77.032652,4,15,1252.537748
Park Rd & Holmead Pl NW,Metro Center / 12th & G St NW,1431,33,31602,38.9308,-77.0315,8,10,103,31230,38.898364,-77.027869,30,0,3624.429906
Park Rd & Holmead Pl NW,14th & Belmont St NW,1418,33,31602,38.9308,-77.0315,8,10,272,31119,38.921074,-77.031887,1,13,1083.211974
Park Rd & Holmead Pl NW,18th & M St NW,1395,33,31602,38.9308,-77.0315,8,10,79,31221,38.904742,-77.041606,9,8,3029.94691
Park Rd & Holmead Pl NW,15th & Euclid St  NW,1282,33,31602,38.9308,-77.0315,8,10,230,31117,38.92333,-77.0352,1,14,891.1547408
Park Rd & Holmead Pl NW,17th & K St NW,1274,33,31602,38.9308,-77.0315,8,10,54,31213,38.90276,-77.03863,9,13,3181.901778
Park Rd & Holmead Pl NW,New Hampshire Ave & T St NW,1248,33,31602,38.9308,-77.0315,8,10,102,31229,38.91554,-77.03818,0,23,1794.545014
Park Rd & Holmead Pl NW,Columbia Rd & Belmont St NW,1247,33,31602,38.9308,-77.0315,8,10,135,31113,38.920669,-77.04368,5,14,1544.188315
Park Rd & Holmead Pl NW,21st & I St NW,1169,33,31602,38.9308,-77.0315,8,10,27,31205,38.9008,-77.047,30,2,3599.332229
Park Rd & Holmead Pl NW,8th & H St NW,1064,33,31602,38.9308,-77.0315,8,10,92,31228,38.8997,-77.023086,31,2,3537.910809
Park Rd & Holmead Pl NW,California St & Florida Ave NW,1040,33,31602,38.9308,-77.0315,8,10,149,31116,38.917761,-77.04062,3,16,1652.472778
Park Rd & Holmead Pl NW,16th & K St NW,995,33,31602,38.9308,-77.0315,8,10,419,31291,38.90268,-77.035737,21,2,3151.742067
Park Rd & Holmead Pl NW,17th & Rhode Island Ave NW,984,33,31602,38.9308,-77.0315,8,10,136,31239,38.906602,-77.038785,4,18,2766.618617
Park Rd & Holmead Pl NW,M St & Pennsylvania Ave NW,929,33,31602,38.9308,-77.0315,8,10,153,31246,38.905126,-77.056887,13,6,3605.971529
Park Rd & Holmead Pl NW,17th & K St NW / Farragut Square,903,33,31602,38.9308,-77.0315,8,10,106,31233,38.902061,-77.038322,16,18,3253.319328
Park Rd & Holmead Pl NW,Lynn & 19th St North,898,33,31602,38.9308,-77.0315,8,10,127,31014,38.897315,-77.070993,11,19,5059.248503
Park Rd & Holmead Pl NW,C & O Canal & Wisconsin Ave NW,881,33,31602,38.9308,-77.0315,8,10,87,31225,38.90375,-77.06269,8,15,4045.378309
Park Rd & Holmead Pl NW,Florida Ave & R St NW,860,33,31602,38.9308,-77.0315,8,10,61,31503,38.9126,-77.0135,6,8,2556.363489
Park Rd & Holmead Pl NW,22nd & I St NW / Foggy Bottom,855,33,31602,38.9308,-77.0315,8,10,200,31257,38.90088,-77.048911,14,0,3656.174645
Park Rd & Holmead Pl NW,17th St & Massachusetts Ave NW,838,33,31602,38.9308,-77.0315,8,10,229,31267,38.908142,-77.038359,0,17,2591.290258
Park Rd & Holmead Pl NW,14th St & New York Ave NW,811,33,31602,38.9308,-77.0315,8,10,69,31216,38.899632,-77.031686,12,11,3469.643292
Park Rd & Holmead Pl NW,14th & G St NW,787,33,31602,38.9308,-77.0315,8,10,117,31238,38.898069,-77.031823,9,11,3643.705661
Park Rd & Holmead Pl NW,14th & D St NW / Ronald Reagan Building,780,33,31602,38.9308,-77.0315,8,10,104,31231,38.894514,-77.031617,8,17,4039.351756
