StartDate,Ridership
2013/10/16,9729
2013/10/17,9548
2013/10/18,10373
2013/10/19,9415
2013/10/20,8594
2013/10/21,9056
2013/10/22,9074
2013/10/23,7970
2013/10/24,7897
2013/10/25,7953
2013/10/26,7983
2013/10/27,8022
2013/10/28,8603
2013/10/29,9134
2013/10/30,8144
2013/10/31,8429
2013/11/1,8180
2013/11/2,9490
2013/11/3,7735
2013/11/4,6954
2013/11/5,8223
2013/11/6,8877
2013/11/7,8065
2013/11/8,7588
2013/11/9,7618
2013/11/10,7260
2013/11/11,7264
2013/11/12,6162
2013/11/13,6544
2013/11/14,7359
2013/11/15,7754
2013/11/16,6891
2013/11/17,7025
2013/11/18,8350
2013/11/19,7522
2013/11/20,7409
2013/11/21,7588
2013/11/22,8230
2013/11/23,6180
2013/11/24,3227
2013/11/25,5360
2013/11/26,1901
2013/11/27,2264
2013/11/28,1603
2013/11/29,2956
2013/11/30,3042
2013/12/1,3727
2013/12/2,6385
2013/12/3,7523
2013/12/4,7674
2013/12/5,8243
2013/12/6,2976
2013/12/7,4931
2013/12/8,1376
2013/12/9,3473
2013/12/10,2724
2013/12/11,5530
2013/12/12,5133
2013/12/13,5686
2013/12/14,2828
2013/12/15,4354
2013/12/16,5669
2013/12/17,5407
2013/12/18,5840
2013/12/19,6716
2013/12/20,6575
2013/12/21,6495
2013/12/22,2849
2013/12/23,2031
2013/12/24,2369
2013/12/25,1012
2013/12/26,2469
2013/12/27,3619
2013/12/28,4450
2013/12/29,1460
2013/12/30,4400
2013/12/31,4166
2014/1/1,3041
2014/1/2,3356
2014/1/3,1634
2014/1/4,2281
2014/1/5,2080
2014/1/6,3553
2014/1/7,2330
2014/1/8,3976
2014/1/9,4992
2014/1/10,1861
2014/1/11,1984
2014/1/12,5467
2014/1/13,6919
2014/1/14,5126
2014/1/15,6510
2014/1/16,6067
2014/1/17,6185
2014/1/18,3352
2014/1/19,4145
2014/1/20,5368
2014/1/21,1766
2014/1/22,1463
2014/1/23,2450
2014/1/24,2651
2014/1/25,2293
2014/1/26,2588
2014/1/27,4535
2014/1/28,3160
2014/1/29,3185
2014/1/30,4209
2014/1/31,5479
2014/2/1,5409
2014/2/2,5471
2014/2/3,2493
2014/2/4,5226
2014/2/5,3800
2014/2/6,5243
2014/2/7,5447
2014/2/8,4079
2014/2/9,3146
2014/2/10,4482
2014/2/11,4783
2014/2/12,3987
2014/2/13,56
2014/2/14,1949
2014/2/15,1781
2014/2/16,2876
2014/2/17,3349
2014/2/18,5154
2014/2/19,5682
2014/2/20,6631
2014/2/21,5844
2014/2/22,7896
2014/2/23,6152
2014/2/24,5459
2014/2/25,4595
2014/2/26,3958
2014/2/27,4940
2014/2/28,4143
2014/3/1,4604
2014/3/2,3531
2014/3/3,429
2014/3/4,2279
2014/3/5,4554
2014/3/6,4875
2014/3/7,5114
2014/3/8,8494
2014/3/9,5979
2014/3/10,6831
2014/3/11,8446
2014/3/12,6288
2014/3/13,4022
2014/3/14,7035
2014/3/15,10471
2014/3/16,4871
2014/3/17,1296
2014/3/18,4707
2014/3/19,3791
2014/3/20,7602
2014/3/21,7757
2014/3/22,10969
2014/3/23,5364
2014/3/24,5435
2014/3/25,3119
2014/3/26,4980
2014/3/27,6512
2014/3/28,6741
2014/3/29,2298
2014/3/30,906
2014/3/31,8268
2014/4/1,9476
2014/4/2,8987
2014/4/3,9188
2014/4/4,8972
2014/4/5,10841
2014/4/6,9932
2014/4/7,2842
2014/4/8,8957
2014/4/9,9993
2014/4/10,11355
2014/4/11,11539
2014/4/12,15755
2014/4/13,14578
2014/4/14,10724
2014/4/15,1842
2014/4/16,7851
2014/4/17,8713
2014/4/18,9428
2014/4/19,12024
2014/4/20,9627
2014/4/21,9750
2014/4/22,9205
2014/4/23,9029
2014/4/24,9985
2014/4/25,7658
2014/4/26,11627
2014/4/27,11161
2014/4/28,6487
2014/4/29,3148
2014/4/30,1816
2014/5/1,9690
2014/5/2,10449
2014/5/3,11302
2014/5/4,10642
2014/5/5,8169
2014/5/6,10530
2014/5/7,8649
2014/5/8,10523
2014/5/9,10539
2014/5/10,8329
2014/5/11,11092
2014/5/12,9516
2014/5/13,10046
2014/5/14,9815
2014/5/15,9487
2014/5/16,8117
2014/5/17,11334
2014/5/18,10328
2014/5/19,10534
2014/5/20,10956
2014/5/21,8601
2014/5/22,10450
2014/5/23,10532
2014/5/24,10644
2014/5/25,12206
2014/5/26,10809
2014/5/27,8327
2014/5/28,10030
2014/5/29,5366
2014/5/30,10930
2014/5/31,12209
2014/6/1,11075
2014/6/2,10466
2014/6/3,10519
2014/6/4,10275
2014/6/5,10854
2014/6/6,11956
2014/6/7,12002
2014/6/8,10740
2014/6/9,10623
2014/6/10,9619
2014/6/11,8734
2014/6/12,9314
2014/6/13,9590
2014/6/14,12046
2014/6/15,11187
2014/6/16,10624
2014/6/17,10623
2014/6/18,10106
2014/6/19,10570
2014/6/20,11780
2014/6/21,9939
2014/6/22,10948
2014/6/23,10984
2014/6/24,11301
2014/6/25,10311
2014/6/26,11087
2014/6/27,10749
2014/6/28,10974
2014/6/29,10934
2014/6/30,10593
2014/7/1,10600
2014/7/2,9699
2014/7/3,8696
2014/7/4,12024
2014/7/5,12927
2014/7/6,11033
2014/7/7,10165
2014/7/8,8629
2014/7/9,8900
2014/7/10,8800
2014/7/11,11346
2014/7/12,11611
2014/7/13,9434
2014/7/14,8610
2014/7/15,7929
