id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,3,19
143,4th & E St SW,31244,38.88412,-77.017445,7,12
58,14th & D St SE,31607,38.884,-76.9861,3,9
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,7,7
166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,5,6
180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,2,9
201,Utah St & 11th St N,31049,38.883669,-77.113905,6,5
165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,5,13
177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,2,8
157,Wilson Blvd & N Oakland St,31033,38.8815,-77.10396,6,5
144,3rd & G St SE,31625,38.881185,-77.001828,3,16
176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,9,14
405,Kennebec St & 11th St N,31905,38.880992,-77.135271,5,10
175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,4,7
245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,5,6
57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,3,11
181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,1,13
178,Jefferson Memorial,31249,38.879819,-77.037413,14,6
62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,9,2
170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,6,9
162,1st & K St SE,31628,38.87861,-77.006004,6,7
305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,0,17
36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,5,5
88,6th & Water St SW / SW Waterfront,31609,38.87675,-77.02127,7,12
275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,7,7
22,4th & M St SW,31108,38.8767,-77.0178,5,16
359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,11,4
156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,4,7
49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,0,16
273,3rd & Tingey St SE,31634,38.87501,-77.0024,0,18
45,1st & N St  SE,31209,38.8743,-77.0057,20,17
306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,4,7
312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,9,6
67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,6,4
257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,0,11
423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,8,15
333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,5,6
313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,6,8
100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,4,7
40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,4,7
246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,5,5
179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,11,4
323,Rolfe St & 9th St S,31075,38.866471,-77.076131,5,5
307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,9,2
368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,12,3
66,Anacostia Library,31804,38.865784,-76.9784,7,4
132,Fairfax Village,31706,38.86559,-76.952103,3,12
346,6th & S Ball St,31090,38.864702,-77.048672,11,4
240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,6,5
211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,9,6
7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,8,6
9,12th & Army Navy Dr,31008,38.8629,-77.0528,6,5
39,Anacostia Metro,31801,38.862669,-76.994637,3,7
255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,3,9
364,Army Navy Dr & S Nash St,31095,38.862467,-77.068242,5,6
6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,15,4
221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,4,6
4,15th & Crystal Dr,31003,38.86017,-77.049593,8,3
34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,8,3
352,S Joyce & 16th St S,31091,38.859254,-77.063275,6,9
1,Eads St & 15th St S,31000,38.858971,-77.05323,10,5
5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,4,7
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,8,3
2,18th & Eads St.,31001,38.85725,-77.05332,5,4
8,Crystal City Metro / 18th & Bell St,31007,38.857063,-77.051141,14,5
3,20th & Crystal Dr,31002,38.856425,-77.049232,9,6
256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,7,7
227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,8,2
48,23rd & Eads St,31013,38.853531,-77.053509,4,11
12,23rd & Crystal Dr,31011,38.8533,-77.0498,8,9
243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,5,6
13,26th & S Clark St,31012,38.850688,-77.05152,6,5
224,S Kenmore & 24th St S,31061,38.848454,-77.084918,8,3
10,27th & Crystal Dr,31009,38.848441,-77.051516,11,8
219,S Troy St & 26th St S,31056,38.847977,-77.075104,4,7
222,S Four Mile Run & Walter Reed Dr,31059,38.84736,-77.095431,8,3
213,28th St S & S Meade St,31055,38.846222,-77.069275,12,3
155,Congress Heights Metro,31806,38.844711,-76.987823,6,8
220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,8,3
118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,14,9
412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,7,8
239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,7,4
11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,4,6
223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,11,4
414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,12,3
324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,12,3
311,31st & Woodrow St S,31072,38.837666,-77.09482,3,8
244,S Stafford & 34th St S,31064,38.834108,-77.087323,3,8
343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,15,0
392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,15,4
417,Potomac & Swann Ave,31916,38.829545,-77.047844,14,2
403,Radford & Osage St,31908,38.828437,-77.086031,10,13
341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,7,8
398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,10,8
338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,2,9
342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,4,11
340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,4,7
407,Commonwealth & E Monroe Ave,31913,38.82005823,-77.06282079,1,14
416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,9,5
196,Braddock Rd Metro,31047,38.814577,-77.052808,18,8
382,Madison & N Henry St,31099,38.813485,-77.049468,6,8
380,Saint Asaph & Madison St,31097,38.812718,-77.044097,9,5
406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,12,7
195,Henry St & Pendleton St,31046,38.811456,-77.050276,9,6
191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,13,1
381,King St Metro North / Cameron St,31098,38.80704,-77.059817,6,9
197,King St Metro South,31048,38.805767,-77.06072,3,20
194,Commerce St & Fayette St,31045,38.805648,-77.05293,2,13
192,King St & Patrick St,31044,38.805317,-77.049883,8,7
190,Market Square / King St & Royal St,31042,38.804718,-77.043363,13,1
331,Duke St & John Carlyle St,31081,38.804378,-77.060866,5,10
189,Prince St & Union St,31041,38.803124,-77.040363,19,0
339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,12,7
337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,7,8
396,Royal & Wilkes St,31903,38.799267,-77.0447,9,6
411,Franklin & S Washington St,31907,38.798133,-77.0487,5,14
415,Lee Center,31914,38.797557,-77.053766,8,7
