start_day,Category_ID,Ridership
2010/10/25,13,54
2010/10/25,14,56
2010/10/25,15,51
2010/10/25,16,82
2010/10/25,17,148
2010/10/25,18,151
2010/10/25,19,105
2010/10/25,20,82
2010/10/25,21,50
2010/10/25,22,34
2010/10/25,23,20
2010/10/26,0,4
2010/10/26,1,8
2010/10/26,2,3
2010/10/26,5,7
2010/10/26,6,23
2010/10/26,7,83
2010/10/26,8,182
2010/10/26,9,103
2010/10/26,10,51
2010/10/26,11,57
2010/10/26,12,61
2010/10/26,13,54
2010/10/26,14,67
2010/10/26,15,79
2010/10/26,16,89
2010/10/26,17,168
2010/10/26,18,162
2010/10/26,19,111
2010/10/26,20,88
2010/10/26,21,84
2010/10/26,22,60
2010/10/26,23,28
2010/10/27,0,16
2010/10/27,1,4
2010/10/27,2,5
2010/10/27,3,1
2010/10/27,4,2
2010/10/27,6,4
2010/10/27,7,14
2010/10/27,8,33
2010/10/27,9,60
2010/10/27,10,45
2010/10/27,11,31
2010/10/27,12,21
2010/10/27,13,9
2010/10/27,14,31
2010/10/27,15,55
2010/10/27,16,66
2010/10/27,17,167
2010/10/27,18,170
2010/10/27,19,99
2010/10/27,20,73
2010/10/27,21,60
2010/10/27,22,51
2010/10/27,23,30
2010/10/28,0,16
2010/10/28,1,6
2010/10/28,2,2
2010/10/28,4,2
2010/10/28,5,5
2010/10/28,6,26
2010/10/28,7,79
2010/10/28,8,188
2010/10/28,9,106
2010/10/28,10,54
2010/10/28,11,63
2010/10/28,12,89
2010/10/28,13,72
2010/10/28,14,73
2010/10/28,15,63
2010/10/28,16,101
2010/10/28,17,207
2010/10/28,18,207
2010/10/28,19,115
2010/10/28,20,74
2010/10/28,21,87
2010/10/28,22,49
2010/10/28,23,30
2010/10/29,0,17
2010/10/29,1,12
2010/10/29,2,3
2010/10/29,3,3
2010/10/29,5,4
2010/10/29,6,23
2010/10/29,7,65
2010/10/29,8,165
2010/10/29,9,115
2010/10/29,10,50
2010/10/29,11,76
2010/10/29,12,99
2010/10/29,13,109
2010/10/29,14,75
2010/10/29,15,74
2010/10/29,16,124
2010/10/29,17,178
2010/10/29,18,167
2010/10/29,19,111
2010/10/29,20,83
2010/10/29,21,60
2010/10/29,22,35
2010/10/29,23,33
2010/10/30,0,37
2010/10/30,1,21
2010/10/30,2,26
2010/10/30,3,6
2010/10/30,4,3
2010/10/30,5,5
2010/10/30,6,3
2010/10/30,7,18
2010/10/30,8,49
2010/10/30,9,130
2010/10/30,10,183
2010/10/30,11,244
2010/10/30,12,130
2010/10/30,13,170
2010/10/30,14,239
2010/10/30,15,286
2010/10/30,16,242
2010/10/30,17,184
2010/10/30,18,96
2010/10/30,19,58
2010/10/30,20,69
2010/10/30,21,62
2010/10/30,22,45
2010/10/30,23,36
2010/10/31,0,33
2010/10/31,1,40
2010/10/31,2,55
2010/10/31,3,40
2010/10/31,4,11
2010/10/31,5,1
2010/10/31,6,6
2010/10/31,7,15
2010/10/31,8,56
2010/10/31,9,68
2010/10/31,10,125
2010/10/31,11,156
2010/10/31,12,176
2010/10/31,13,180
2010/10/31,14,197
2010/10/31,15,171
2010/10/31,16,149
2010/10/31,17,149
2010/10/31,18,101
2010/10/31,19,70
2010/10/31,20,56
2010/10/31,21,58
2010/10/31,22,42
2010/10/31,23,22
2010/11/1,0,11
2010/11/1,1,5
2010/11/1,2,9
2010/11/1,5,7
2010/11/1,6,30
2010/11/1,7,70
2010/11/1,8,137
