StartDate,Ridership,DayType
13-09-13,10056,No
14-09-13,11269,No
15-09-13,9855,No
16-09-13,8359,No
17-09-13,9968,No
18-09-13,10059,No
19-09-13,10461,No
20-09-13,10676,No
21-09-13,6919,No
22-09-13,9442,No
23-09-13,9067,No
24-09-13,9606,No
25-09-13,9615,No
26-09-13,9893,No
27-09-13,9989,No
28-09-13,10190,No
29-09-13,9365,No
30-09-13,9132,No
01-10-13,10358,No
02-10-13,10385,No
03-10-13,10157,No
04-10-13,10263,No
05-10-13,10586,No
06-10-13,9776,No
07-10-13,5880,No
08-10-13,9944,No
09-10-13,6438,No
10-10-13,2532,No
11-10-13,1800,No
12-10-13,5261,No
13-10-13,6027,No
14-10-13,8940,Yes
15-10-13,9381,No
16-10-13,9729,No
17-10-13,9548,No
18-10-13,10373,No
19-10-13,9415,No
20-10-13,8594,No
21-10-13,9056,No
22-10-13,9074,No
23-10-13,7970,No
24-10-13,7897,No
25-10-13,7953,No
26-10-13,7983,No
27-10-13,8022,No
28-10-13,8603,No
29-10-13,9134,No
30-10-13,8144,No
31-10-13,8429,No
01-11-13,8180,No
02-11-13,9490,No
03-11-13,7735,No
04-11-13,6954,No
05-11-13,8223,No
06-11-13,8877,No
07-11-13,8065,No
08-11-13,7588,No
09-11-13,7618,No
10-11-13,7260,No
11-11-13,7264,Yes
12-11-13,6162,No
13-11-13,6544,No
14-11-13,7359,No
15-11-13,7754,No
16-11-13,6891,No
17-11-13,7025,No
18-11-13,8350,No
19-11-13,7522,No
20-11-13,7409,No
21-11-13,7588,No
22-11-13,8230,No
23-11-13,6180,No
24-11-13,3227,No
25-11-13,5360,No
26-11-13,1901,No
27-11-13,2264,No
28-11-13,1603,Yes
29-11-13,2956,No
30-11-13,3042,No
01-12-13,3727,No
02-12-13,6385,No
03-12-13,7523,No
04-12-13,7674,No
05-12-13,8243,No
06-12-13,2976,No
07-12-13,4931,No
08-12-13,1376,No
09-12-13,3473,No
10-12-13,2724,No
11-12-13,5530,No
12-12-13,5133,No
13-12-13,5686,No
14-12-13,2828,No
15-12-13,4354,No
16-12-13,5669,No
17-12-13,5407,No
18-12-13,5840,No
19-12-13,6716,No
20-12-13,6575,No
21-12-13,6495,No
22-12-13,2849,No
23-12-13,2031,No
24-12-13,2369,No
25-12-13,1012,Yes
26-12-13,2469,No
27-12-13,3619,No
28-12-13,4450,No
29-12-13,1460,No
30-12-13,4400,No
31-12-13,4166,No
01-01-14,3041,Yes
02-01-14,3356,No
03-01-14,1634,No
04-01-14,2281,No
05-01-14,2080,No
06-01-14,3553,No
07-01-14,2330,No
08-01-14,3976,No
09-01-14,4992,No
10-01-14,1861,No
11-01-14,1984,No
12-01-14,5467,No
13-01-14,6919,No
14-01-14,5126,No
15-01-14,6510,No
16-01-14,6067,No
17-01-14,6185,No
18-01-14,3352,No
19-01-14,4145,No
20-01-14,5368,Yes
21-01-14,1766,No
22-01-14,1463,No
23-01-14,2450,No
24-01-14,2651,No
25-01-14,2293,No
26-01-14,2588,No
27-01-14,4535,No
28-01-14,3160,No
29-01-14,3185,No
30-01-14,4209,No
31-01-14,5479,No
01-02-14,5409,No
02-02-14,5471,No
03-02-14,2493,No
04-02-14,5226,No
05-02-14,3800,No
06-02-14,5243,No
07-02-14,5447,No
08-02-14,4079,No
09-02-14,3146,No
10-02-14,4482,No
11-02-14,4783,No
12-02-14,3987,No
13-02-14,56,No
14-02-14,1949,No
15-02-14,1781,No
16-02-14,2876,No
17-02-14,3349,Yes
18-02-14,5154,No
19-02-14,5682,No
20-02-14,6631,No
21-02-14,5844,No
22-02-14,7896,No
23-02-14,6152,No
24-02-14,5459,No
25-02-14,4595,No
26-02-14,3958,No
27-02-14,4940,No
28-02-14,4143,No
01-03-14,4604,No
